,avg_hit_angle,avg_hit_speed,fbld,avg_hr_distance,ev95percent,brl_pa,ba,est_ba,slg,est_slg,woba,est_woba,Age,HR,OBP,OPS,HR_per_PA,RBI_per_PA,SO_per_PA,SH_per_PA,SF_per_PA,IBB_per_PA,CHR_per_PA,AS__2,AS__3,Tm__ATL,Tm__BAL,Tm__BOS,Tm__CHC,Tm__CHW,Tm__CIN,Tm__CLE,Tm__COL,Tm__DET,Tm__HOU,Tm__KCR,Tm__LAA,Tm__LAD,Tm__MIA,Tm__MIL,Tm__MIN,Tm__NYM,Tm__NYY,Tm__OAK,Tm__PHI,Tm__PIT,Tm__SDP,Tm__SEA,Tm__SFG,Tm__STL,Tm__TBR,Tm__TEX,Tm__TOR,Tm__TOT,Tm__WSN
0,10.5,85.8,90.2,386.0,28.8,2.6,0.313,0.273,0.459,0.39,0.34700000000000003,0.305,25.0,15,0.353,0.812,0.03347280334728033,0.09579100145137881,0.09724238026124818,0.0043541364296081275,0.008708272859216255,0.011611030478955007,0.02177068214804064,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8.3,83.5,86.5,395.0,16.1,0.8,0.257,0.273,0.32,0.337,0.27,0.287,28.0,3,0.293,0.614,0.010263929618768328,0.07099697885196375,0.11329305135951662,0.01661631419939577,0.0075528700906344415,0.0015105740181268882,0.004531722054380665,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9.5,89.4,91.2,398.0,36.0,1.9,0.273,0.28300000000000003,0.394,0.377,0.306,0.311,30.0,12,0.314,0.7090000000000001,0.021671826625387,0.11273792093704246,0.12884333821376281,0.0029282576866764276,0.014641288433382138,0.0029282576866764276,0.017569546120058566,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17.4,85.6,88.6,378.0,26.2,2.4,0.29600000000000004,0.28,0.428,0.391,0.334,0.315,33.0,11,0.342,0.77,0.041237113402061855,0.10814814814814815,0.11851851851851852,0.0,0.007407407407407408,0.0,0.016296296296296295,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.9,82.1,86.0,367.0,14.2,0.0,0.306,0.299,0.377,0.355,0.315,0.307,27.0,2,0.342,0.7190000000000001,0.005333333333333333,0.07097791798107256,0.10094637223974763,0.007886435331230283,0.00473186119873817,0.0,0.0031545741324921135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4.1,83.1,87.9,389.0,19.0,0.8,0.27,0.292,0.338,0.362,0.28,0.303,31.0,3,0.301,0.639,0.006535947712418301,0.06896551724137931,0.11442006269592477,0.0109717868338558,0.007836990595611285,0.001567398119122257,0.004702194357366771,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8.1,85.3,89.7,397.0,27.1,1.2,0.258,0.262,0.35700000000000004,0.344,0.292,0.294,26.0,7,0.309,0.667,0.014084507042253518,0.09379727685325265,0.11800302571860817,0.012102874432677761,0.01361573373676248,0.0015128593040847202,0.01059001512859304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,-0.7,81.5,87.4,379.0,17.0,0.9,0.333,0.285,0.418,0.348,0.337,0.29100000000000004,27.0,4,0.359,0.7759999999999999,0.0028901734104046237,0.07044410413476264,0.13935681470137826,0.009188361408882083,0.007656967840735069,0.0030627871362940277,0.006125574272588055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13.8,90.6,93.8,405.0,38.3,6.4,0.244,0.271,0.48,0.486,0.333,0.34700000000000003,35.0,40,0.307,0.787,0.047692307692307694,0.1437216338880484,0.10892586989409984,0.0,0.0045385779122541605,0.015128593040847202,0.060514372163388806,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.8,90.8,93.2,408.0,44.3,4.9,0.305,0.28,0.463,0.458,0.36,0.349,31.0,23,0.378,0.841,0.021621621621621626,0.1414141414141414,0.12698412698412698,0.0,0.007215007215007215,0.020202020202020204,0.03318903318903319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
