last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Peraza, Jose,606299,570,13.4,38.2,108.7,83.9,87.1,81.3,426,177,391,134,23.6,14,2.5,2.0
Lindor, Francisco,596019,560,14.5,34.6,114.5,90.2,94.3,87.4,445,189,400,227,41.0,53,9.5,7.1
Markakis, Nick,455976,552,10.1,38.4,109.3,90.6,92.2,90.2,429,170,398,229,41.5,17,3.1,2.4
Turner, Trea,607208,534,8.3,29.0,112.3,87.8,92.5,84.9,427,158,396,205,38.4,31,5.8,4.2
Machado, Manny,592518,533,14.4,33.8,114.8,91.6,95.1,90.1,444,184,403,256,48.0,60,11.3,8.5
Albies, Ozzie,645277,527,15.5,34.0,109.9,86.3,91.7,81.6,427,176,389,155,29.4,25,4.7,3.7
Segura, Jean,516416,527,7.4,30.0,111.6,87.0,90.3,85.7,420,145,398,169,32.1,19,3.6,3.0
Merrifield, Whit,593160,526,16.6,41.1,106.4,86.5,91.1,82.0,430,183,401,163,31.2,24,4.6,3.4
Inciarte, Ender,542255,519,10.0,32.9,105.0,83.6,87.9,80.6,433,156,380,97,18.7,8,1.5,1.2
Brantley, Michael,488726,517,9.5,39.1,108.6,89.9,91.9,89.0,424,169,392,192,38.0,19,3.7,3.0
Simmons, Andrelton,592743,516,7.7,28.5,109.7,87.8,92.0,86.6,402,149,382,186,36.3,21,4.1,3.5
Bregman, Alex,608324,512,16.9,37.9,107.6,89.2,93.5,86.0,420,190,384,204,39.9,39,7.6,5.5
Semien, Marcus,543760,510,15.3,35.1,107.1,86.6,91.3,82.9,428,177,393,163,32.1,23,4.5,3.3
Ramirez, Jose,608070,504,18.8,34.7,110.2,88.9,92.4,86.6,434,196,388,173,35.1,43,8.5,6.2
Rizzo, Anthony,519203,495,14.4,36.2,112.6,89.9,93.1,87.9,453,185,404,200,40.5,32,6.5,4.8
Blackmon, Charlie,453568,495,11.8,34.9,110.4,87.2,91.2,83.7,447,173,407,174,35.2,32,6.5,4.6
Freeman, Freddie,518692,492,14.5,44.9,109.6,89.1,93.7,83.0,441,190,402,196,39.8,46,9.3,6.5
Jones, Adam,430945,491,13.0,35.6,108.1,88.0,91.5,86.2,422,174,396,162,33.1,24,4.9,3.9
Gordon, Dee,543829,490,3.5,30.4,104.7,80.6,85.2,78.3,388,130,365,61,12.5,1,0.2,0.2
Benintendi, Andrew,643217,482,12.6,37.6,109.5,88.4,91.9,84.8,437,182,394,159,33.1,31,6.4,4.7
Gurriel, Yuli,493329,481,11.5,32.6,107.9,89.3,89.7,91.0,427,165,378,174,36.2,9,1.9,1.6
Andujar, Miguel,609280,480,12.3,34.6,110.4,89.2,92.7,87.8,428,169,389,175,36.5,30,6.3,5.0
Ozuna, Marcell,542303,476,10.8,30.5,117.2,91.5,94.9,90.1,479,165,415,213,44.9,46,9.7,7.3
Moustakas, Mike,519058,476,19.6,31.3,112.2,89.3,92.9,88.6,438,188,398,186,39.1,42,8.8,6.6
Santana, Carlos,467793,475,15.1,30.5,113.5,88.8,93.3,87.5,445,175,399,185,39.0,34,7.2,5.0
Arenado, Nolan,571448,475,15.3,35.8,109.2,89.7,94.4,85.8,464,184,408,191,40.3,35,7.4,5.2
Castro, Starlin,516770,475,8.4,32.0,109.3,88.5,91.9,87.1,427,154,400,172,36.2,33,6.9,5.1
Hosmer, Eric,543333,472,-1.2,27.3,112.2,88.8,95.0,86.2,439,118,400,177,38.2,30,6.4,4.4
Castellanos, Nicholas,592206,472,15.2,45.3,110.3,89.6,93.6,84.9,426,198,384,191,40.5,53,11.2,7.8
Lowrie, Jed,476704,471,17.2,38.2,108.0,89.0,91.9,86.0,412,197,380,177,37.7,25,5.3,3.7
Sanchez, Yolmer,570560,467,8.5,35.1,110.3,85.6,91.2,82.1,449,157,405,130,27.8,14,3.0,2.1
Gennett, Scooter,571697,467,13.3,37.5,108.5,86.7,90.9,82.6,420,179,377,149,31.9,27,5.8,4.2
Anderson, Brian,605119,463,8.7,29.2,113.3,90.2,93.0,89.6,434,149,398,196,42.4,27,5.8,4.0
Galvis, Freddy,520471,462,13.2,32.9,105.8,87.5,91.7,83.8,419,177,382,129,28.5,18,3.9,2.7
LeMahieu, DJ,518934,460,5.7,31.3,109.3,91.1,93.2,89.6,439,163,399,197,43.0,24,5.2,4.1
Altuve, Jose,514888,459,9.5,34.0,112.3,86.3,92.3,81.2,443,159,399,155,33.8,27,5.9,4.5
Rosario, Eddie,592696,458,17.4,33.0,108.1,87.3,92.5,81.9,418,186,378,152,33.9,38,8.3,6.4
Rendon, Anthony,543685,455,17.7,39.8,109.9,90.6,93.7,88.7,430,200,395,203,44.6,47,10.3,7.9
Haniger, Mitch,571745,455,12.7,36.5,112.8,90.2,94.2,87.4,443,174,400,195,43.0,47,10.3,6.9
Hernandez, Cesar,514917,454,9.4,30.0,109.4,84.2,88.8,81.3,441,159,393,127,28.0,19,4.2,2.7
Marte, Starling,516782,454,8.2,31.5,112.0,87.5,94.2,83.6,453,159,398,173,38.3,34,7.5,5.6
Seager, Kyle,572122,449,18.4,37.0,110.5,89.7,92.6,87.3,424,197,385,178,39.6,25,5.6,4.0
Escobar, Eduardo,500871,448,18.8,39.5,108.8,86.5,90.8,82.3,447,197,400,122,27.6,37,8.3,5.9
Cain, Lorenzo,456715,447,4.9,30.9,112.4,89.1,91.0,88.6,431,139,402,181,40.5,15,3.4,2.4
Gregorius, Didi,544369,445,15.6,32.8,109.4,86.5,90.8,84.7,430,180,379,136,30.6,21,4.7,3.7
Marte, Ketel,606466,444,5.7,29.3,115.1,88.5,92.0,87.4,465,146,405,162,36.7,22,5.0,3.8
Baez, Javier,595879,444,9.2,33.6,113.7,89.6,96.9,84.5,481,174,404,190,43.1,56,12.6,8.7
Yelich, Christian,592885,441,4.7,36.7,113.6,92.3,97.2,89.0,441,160,407,224,50.8,57,12.9,8.8
Rosario, Amed,642708,441,7.2,32.7,109.5,87.3,90.4,85.9,437,151,405,141,32.1,17,3.9,2.9
Jay, Jon,445055,440,3.2,31.8,105.0,84.1,89.0,81.1,413,131,387,94,21.4,8,1.8,1.4
Profar, Jurickson,595777,440,12.3,33.6,112.2,87.3,91.7,84.4,436,168,403,140,31.8,22,5.0,3.7
Kepler, Max,596146,439,16.2,30.5,112.7,89.5,93.8,86.0,427,189,395,164,38.0,29,6.6,4.7
Peralta, David,444482,438,6.7,32.9,114.8,91.5,95.4,90.0,449,164,400,200,45.7,34,7.8,5.5
Piscotty, Stephen,572039,437,13.1,34.6,111.6,88.5,93.4,84.4,443,174,394,168,38.7,42,9.6,6.9
Martinez, Jose,500874,435,8.0,37.5,113.8,90.7,94.1,87.8,436,170,404,192,44.1,41,9.4,6.9
Story, Trevor,596115,434,15.7,38.2,112.5,90.8,95.0,86.8,505,201,422,199,46.0,55,12.7,8.4
Betts, Mookie,605141,434,18.3,39.4,110.6,92.2,95.8,88.6,452,207,400,217,50.2,61,14.1,9.9
Mancini, Trey,641820,434,5.4,27.6,115.0,89.9,95.0,87.0,438,147,387,183,42.2,51,11.8,8.0
Gardner, Brett,458731,432,8.4,30.6,110.1,87.3,91.7,85.0,426,156,385,142,32.9,12,2.8,2.0
McCutchen, Andrew,457705,431,13.4,36.4,110.9,90.1,94.2,86.2,427,179,387,180,41.9,36,8.4,5.3
Herrera, Odubel,546318,430,12.3,29.1,114.7,86.3,89.8,85.4,453,162,394,136,31.6,21,4.9,3.5
Martinez, J.D.,502110,430,10.7,40.0,116.7,93.0,96.8,89.1,443,184,398,225,52.4,69,16.0,10.6
Cabrera, Asdrubal,452678,429,14.3,33.1,108.3,89.6,93.5,86.8,425,178,385,167,38.9,31,7.2,5.2
Dozier, Brian,572821,429,17.8,31.0,104.8,86.7,91.7,82.6,409,179,379,122,29.0,27,6.3,4.3
Dickerson, Corey,572816,428,14.8,37.6,111.4,87.8,91.8,84.2,447,183,400,135,31.7,26,6.1,4.9
Rojas, Miguel,500743,426,8.9,35.4,106.6,84.1,87.2,83.2,431,145,390,101,23.8,4,0.9,0.8
Kinsler, Ian,435079,426,17.8,36.6,106.1,85.3,89.0,83.4,412,177,389,110,25.9,13,3.1,2.4
Martinez, Victor,400121,425,14.0,35.3,107.6,87.8,90.8,85.5,416,181,384,129,30.4,20,4.7,3.9
Springer, George,543807,425,9.5,30.1,114.7,88.6,93.3,86.1,462,157,410,158,37.2,38,8.9,6.1
Anderson, Tim,641313,423,10.5,33.3,112.5,85.6,90.6,81.7,414,161,384,118,27.9,20,4.7,3.3
Escobar, Alcides,444876,423,9.5,30.3,105.5,83.1,88.2,79.3,398,155,386,91,21.5,9,2.1,1.7
Kipnis, Jason,543401,422,17.0,34.6,107.4,86.1,90.5,81.6,417,191,382,129,31.3,28,6.6,4.7
Goldschmidt, Paul,502671,420,15.7,37.1,112.9,90.8,95.9,87.0,450,191,400,184,43.8,57,13.6,8.3
Pillar, Kevin,607680,420,16.5,39.3,111.1,87.1,90.9,85.0,440,181,390,153,36.4,24,5.7,4.4
Olson, Matt,621566,419,17.8,35.1,113.3,93.1,97.4,90.3,475,189,408,218,52.2,51,12.2,7.7
Bogaerts, Xander,593428,417,12.7,32.9,111.9,90.5,95.1,87.8,436,169,407,173,41.6,41,9.8,7.1
Stanton, Giancarlo,519317,416,11.6,30.0,121.7,93.7,99.7,91.4,458,175,405,210,50.5,63,15.1,8.9
Nunez, Eduardo,456488,415,9.2,27.2,110.2,88.2,90.4,89.4,411,148,383,148,35.7,14,3.4,2.8
Desmond, Ian,435622,414,0.0,28.5,112.0,89.9,95.8,87.3,472,130,405,179,43.2,29,7.0,4.7
Crawford, Brandon,543063,414,11.1,37.2,108.8,87.3,90.6,85.6,436,168,386,137,33.1,15,3.6,2.5
Ahmed, Nick,605113,413,11.3,36.3,106.2,86.5,91.5,81.8,438,175,393,124,30.0,21,5.1,3.7
Duffy, Matt,622110,413,4.6,33.7,104.9,86.6,90.0,84.8,410,134,402,115,27.8,5,1.2,0.9
Hoskins, Rhys,656555,413,22.4,36.1,112.0,88.9,94.3,82.7,444,212,393,161,39.2,47,11.4,7.1
Carpenter, Matt,572761,410,20.4,44.4,109.4,89.6,94.4,81.0,432,231,389,183,44.7,56,13.7,8.3
Bellinger, Cody,641355,409,16.1,32.0,112.9,89.7,95.4,86.4,443,183,405,156,38.6,35,8.6,5.5
Davis, Khris,501981,408,18.1,38.0,112.8,92.5,97.2,87.7,438,211,405,194,47.8,70,17.2,10.7
Perez, Salvador,521692,407,18.0,35.4,112.1,91.2,94.3,89.0,454,203,398,193,47.5,44,10.8,8.1
