last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Machado, Manny,592518,2015,713,528,.286,.279,.007,.502,.460,.042,.370,.354,.016
Donaldson, Josh,518626,2015,711,499,.297,.291,.006,.568,.552,.016,.397,.391,.006
Dozier, Brian,572821,2015,704,488,.236,.230,.006,.444,.388,.056,.323,.302,.021
Rizzo, Anthony,519203,2015,701,488,.278,.276,.002,.512,.497,.015,.384,.380,.004
Goldschmidt, Paul,502671,2015,695,423,.321,.287,.034,.570,.558,.012,.417,.400,.017
Votto, Joey,458015,2015,695,412,.314,.293,.021,.541,.544,-.003,.427,.421,.006
Fielder, Prince,425902,2015,693,530,.305,.280,.025,.463,.458,.005,.360,.349,.011
Fowler, Dexter,451594,2015,690,447,.250,.235,.015,.411,.350,.061,.333,.307,.026
Eaton, Adam,594809,2015,689,486,.287,.261,.026,.431,.359,.072,.346,.312,.034
Altuve, Jose,514888,2015,689,580,.313,.273,.040,.459,.390,.069,.347,.305,.042
Calhoun, Kole,594777,2015,686,472,.256,.245,.011,.422,.416,.006,.317,.311,.006
Seager, Kyle,572122,2015,686,529,.266,.286,-.020,.451,.471,-.020,.334,.355,-.021
Markakis, Nick,455976,2015,686,530,.296,.273,.023,.376,.349,.027,.327,.310,.017
McCutchen, Andrew,457705,2015,685,442,.292,.293,-.001,.488,.526,-.038,.380,.398,-.018
Cabrera, Melky,466320,2015,683,553,.273,.283,-.010,.394,.377,.017,.306,.311,-.005
Granderson, Curtis,434158,2015,682,433,.259,.265,-.006,.457,.466,-.009,.357,.363,-.006
Blackmon, Charlie,453568,2015,682,511,.287,.270,.017,.450,.395,.055,.345,.319,.026
Trout, Mike,545361,2015,682,422,.299,.310,-.011,.590,.594,-.004,.415,.423,-.008
Frazier, Todd,453943,2015,678,490,.255,.259,-.004,.498,.471,.027,.342,.335,.007
Cespedes, Yoenis,493316,2015,676,497,.291,.302,-.011,.542,.547,-.005,.367,.377,-.010
Kinsler, Ian,435079,2015,675,549,.296,.280,.016,.428,.391,.037,.334,.315,.019
Cano, Robinson,429664,2015,674,521,.287,.296,-.009,.446,.472,-.026,.335,.352,-.017
Pollock, A.J.,572041,2015,673,529,.315,.316,-.001,.498,.467,.031,.371,.360,.011
Davis, Chris,448801,2015,670,370,.262,.264,-.002,.562,.590,-.028,.390,.398,-.008
Longoria, Evan,446334,2015,670,480,.270,.261,.009,.436,.463,-.027,.326,.336,-.010
Abreu, Jose,547989,2015,668,474,.290,.275,.015,.502,.465,.037,.361,.341,.020
Hosmer, Eric,543333,2015,667,495,.297,.303,-.006,.459,.478,-.019,.354,.366,-.012
Santana, Carlos,467793,2015,666,433,.231,.244,-.013,.395,.407,-.012,.330,.342,-.012
Mauer, Joe,408045,2015,666,486,.265,.282,-.017,.380,.430,-.050,.310,.340,-.030
Bautista, Jose,430832,2015,666,445,.250,.260,-.010,.536,.509,.027,.388,.384,.004
Arenado, Nolan,571448,2015,665,517,.287,.272,.015,.575,.493,.082,.371,.338,.033
Carpenter, Matt,572761,2015,665,427,.272,.285,-.013,.505,.521,-.016,.372,.384,-.012
Escobar, Alcides,444876,2015,662,553,.257,.273,-.016,.320,.337,-.017,.270,.287,-.017
Pujols, Albert,405395,2015,661,533,.244,.271,-.027,.480,.486,-.006,.333,.347,-.014
Andrus, Elvis,462101,2015,661,535,.258,.262,-.004,.357,.344,.013,.292,.294,-.002
Martinez, J.D.,502110,2015,657,421,.282,.279,.003,.535,.589,-.054,.372,.388,-.016
Gardner, Brett,458731,2015,656,447,.259,.268,-.009,.399,.406,-.007,.327,.336,-.009
Cruz, Nelson,443558,2015,655,427,.302,.288,.014,.566,.540,.026,.396,.379,.017
Harper, Bryce,547180,2015,654,394,.330,.297,.033,.649,.548,.101,.461,.417,.044
Bogaerts, Xander,593428,2015,654,518,.320,.291,.029,.421,.377,.044,.338,.311,.027
Betts, Mookie,605141,2015,654,524,.291,.290,.001,.479,.454,.025,.351,.342,.009
Choo, Shin-Soo,425783,2015,653,415,.276,.261,.015,.463,.453,.010,.365,.359,.006
Gordon, Dee,543829,2015,653,535,.333,.285,.048,.418,.348,.070,.337,.291,.046
Polanco, Gregory,570256,2015,652,475,.256,.272,-.016,.381,.400,-.019,.304,.319,-.015
Bryant, Kris,592178,2015,650,365,.275,.243,.032,.488,.476,.012,.371,.353,.018
Bruce, Jay,457803,2015,649,444,.226,.248,-.022,.434,.452,-.018,.309,.326,-.017
Kemp, Matt,461314,2015,648,457,.265,.271,-.006,.443,.467,-.024,.325,.340,-.015
Gonzalez, Adrian,408236,2015,643,467,.275,.282,-.007,.480,.500,-.020,.354,.365,-.011
Headley, Chase,452104,2015,642,449,.259,.266,-.007,.369,.404,-.035,.306,.325,-.019
Desmond, Ian,435622,2015,641,406,.233,.236,-.003,.384,.379,.005,.294,.295,-.001
Kipnis, Jason,543401,2015,641,468,.303,.306,-.003,.451,.445,.006,.355,.358,-.003
Peralta, Jhonny,425509,2015,640,474,.275,.273,.002,.411,.431,-.020,.322,.331,-.009
Morales, Kendrys,434778,2015,639,470,.290,.289,.001,.485,.504,-.019,.364,.372,-.008
Aybar, Erick,430947,2015,638,536,.270,.292,-.022,.338,.362,-.024,.280,.303,-.023
Revere, Ben,519184,2015,634,536,.306,.299,.007,.377,.355,.022,.315,.307,.008
Marte, Starling,516782,2015,633,464,.287,.292,-.005,.444,.467,-.023,.337,.350,-.013
Plouffe, Trevor,461858,2015,632,454,.244,.256,-.012,.435,.446,-.011,.321,.331,-.010
Pillar, Kevin,607680,2015,628,510,.278,.273,.005,.399,.362,.037,.310,.297,.013
Encarnacion, Edwin,429665,2015,624,440,.277,.276,.001,.557,.540,.017,.391,.387,.004
Phillips, Brandon,408252,2015,623,524,.294,.294,.000,.395,.390,.005,.315,.316,-.001
Posey, Buster,457763,2015,623,512,.318,.310,.008,.470,.498,-.028,.363,.374,-.011
Ramirez, Alexei,493351,2015,622,522,.249,.259,-.010,.357,.336,.021,.279,.280,-.001
Upton, Justin,457708,2015,620,388,.251,.246,.005,.454,.450,.004,.340,.339,.001
LeMahieu, DJ,518934,2015,620,462,.301,.286,.015,.388,.391,-.003,.327,.324,.003
Rodriguez, Alex,121347,2015,620,385,.250,.249,.001,.486,.493,-.007,.361,.363,-.002
Beltre, Adrian,134181,2015,619,510,.287,.303,-.016,.453,.491,-.038,.337,.364,-.027
Forsythe, Logan,523253,2015,615,435,.281,.255,.026,.444,.392,.052,.349,.322,.027
Moustakas, Mike,519058,2015,614,482,.284,.270,.014,.470,.444,.026,.353,.342,.011
Ortiz, David,120074,2015,614,442,.273,.303,-.030,.553,.615,-.062,.379,.416,-.037
Wong, Kolten,543939,2015,613,467,.262,.270,-.008,.386,.377,.009,.309,.313,-.004
Duffy, Matt,622110,2015,612,481,.295,.298,-.003,.428,.433,-.005,.331,.336,-.005
Heyward, Jason,518792,2015,610,460,.293,.282,.011,.439,.391,.048,.345,.327,.018
Gonzalez, Carlos,471865,2015,608,428,.271,.260,.011,.540,.470,.070,.363,.336,.027
